date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:50	67231/67231	---M-Z	200	added ('OK')	text/html	date:Sat,%2027%20May%202023%2022:03:49%20GMT	https://www.isokostores.com/	C:/My%20Web%20Sites/ISOKO/www.isokostores.com/index.html	(from )
15:03:50	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2027%20May%202023%2022:03:49%20GMT	https://www.isokostores.com/robots.txt		(from )
15:03:51	719/719	---M--	200	added ('OK')	image/png	etag:%229aea3a2a2ae9c5bcd39b53a42efef8ff%22	https://global-uploads.webflow.com/6174af50d1bd77ec0c76de92/62185cd3242d01727b571057_favicon.png	C:/My%20Web%20Sites/ISOKO/global-uploads.webflow.com/6174af50d1bd77ec0c76de92/62185cd3242d01727b571057_favicon.png	(from https://www.isokostores.com/)
15:03:51	272447/272447	---M-Z	200	added ('OK')	text/css	etag:%22ea3625beb9694e5ff757223e4dbd6e8f%22	https://global-uploads.webflow.com/6174af50d1bd77ec0c76de92/css/isoko.webflow.06b8e89df.min.css	C:/My%20Web%20Sites/ISOKO/global-uploads.webflow.com/6174af50d1bd77ec0c76de92/css/isoko.webflow.06b8e89df.min.css	(from https://www.isokostores.com/)
15:03:51	3290/3290	---M--	200	added ('OK')	image/png	etag:%225d19a6dc030c169dc83ff100058d12a5%22	https://global-uploads.webflow.com/img/webclip.png	C:/My%20Web%20Sites/ISOKO/global-uploads.webflow.com/img/webclip.png	(from https://www.isokostores.com/)
15:03:52	108444/108444	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2027%20May%202023%2022:03:52%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/ISOKO/connect.facebook.net/en_US/fbevents.js	(from https://www.isokostores.com/)
15:03:52	120537/120537	---MC-	200	added ('OK')	application/javascript	date:Sat,%2027%20May%202023%2021:00:00%20GMT	https://www.googletagmanager.com/gtag/js?id=UA-217512430-1	C:/My%20Web%20Sites/ISOKO/www.googletagmanager.com/gtag/js88e9	(from https://www.isokostores.com/)
15:03:53	10420/10420	---M-Z	200	added ('OK')	application/javascript	etag:%221f4b51b1682e07cd5c928e154c35e7fb%22	https://chimpstatic.com/mcjs-connected/js/users/e985b16d46da6e685af64893b/c3dbea755c6c99aa0b4787986.js	C:/My%20Web%20Sites/ISOKO/chimpstatic.com/mcjs-connected/js/users/e985b16d46da6e685af64893b/c3dbea755c6c99aa0b4787986.js	(from https://www.isokostores.com/)
15:03:54	28228/28228	---M-Z	200	added ('OK')	application/javascript	etag:W/%226e44-6QFWM2OT7puhIxEFAaT+kz8i7w4%22	https://cdn.jsdelivr.net/npm/@finsweet/cookie-consent@1/fs-cc.js	C:/My%20Web%20Sites/ISOKO/cdn.jsdelivr.net/npm/@finsweet/cookie-consent@1/fs-cc.js	(from https://www.isokostores.com/)
15:03:54	481756/481756	---MCZ	200	added ('OK')	text/javascript	etag:W/%2289350765fe133b2ee99974d35034bff2%22	https://js.stripe.com/v3/	C:/My%20Web%20Sites/ISOKO/js.stripe.com/v3/index.html	(from https://www.isokostores.com/)
